feature,coefficient,std_error,oob_r2,ci_lo,ci_hi,boot_frac_nonzero
length_minus1,0.15656551189737916,0.005585614879404953,0.8923213422389069,0.1458296537913655,0.16813054914731781,1.0
D,1.539436005619654,0.02463495064866178,0.8923213422389069,1.488078463322833,1.5871778039429634,1.0
E,1.2298248104072014,0.021643879832573154,0.8923213422389069,1.1882847378653827,1.2732645867900279,1.0
N,0.4065198717578911,0.02811368939555052,0.8923213422389069,0.3510122424281866,0.46016795071782496,1.0
Q,0.03032701876984223,0.02167126622801346,0.8923213422389069,0.0,0.07496778438036314,0.8805
S,0.5374004602494472,0.023192592542745305,0.8923213422389069,0.4919321964031855,0.5821553042044342,1.0
